Timestep	J_x	J_y	J_z	Jconv_x	Jconv_y	Jconv_z	Jcond_x	Jcond_y	Jcond_z
139	143.762414	-2.2353E-06	-1.58931E-05	142.1864511	-1.2875E-06	-1.32756E-05	1.575962928	-9.47802E-07	-2.61754E-06
140	141.8626816	-1.2816E-05	-3.12171E-05	140.4088499	-1.34269E-05	-3.00054E-05	1.453831653	6.10858E-07	-1.21169E-06
141	139.9456117	-7.54483E-06	-1.77226E-05	138.5629159	-1.02974E-05	-1.1789E-05	1.382695788	2.75257E-06	-5.93358E-06
142	138.0224943	-2.59151E-06	4.25214E-06	136.6404177	-2.70706E-06	7.44306E-06	1.382076627	1.15551E-07	-3.19093E-06
143	136.1072109	1.98407E-06	1.70562E-05	134.6344514	5.97693E-07	1.88413E-05	1.472759444	1.38637E-06	-1.78505E-06
144	134.216042	4.40109E-05	-3.92704E-06	132.540257	3.67686E-05	-9.31569E-06	1.675784997	7.24225E-06	5.38864E-06
145	132.3634499	5.32787E-06	1.45884E-05	130.3506059	4.27801E-06	1.31519E-05	2.012843908	1.04987E-06	1.43652E-06
146	130.5668506	-7.0217E-05	-7.09285E-06	128.0626032	-7.22271E-05	-8.25288E-06	2.504247421	2.01011E-06	1.16003E-06
147	128.8402263	1.45181E-05	1.2603E-05	125.6710871	1.5995E-05	1.66598E-05	3.169139231	-1.47692E-06	-4.05683E-06
148	127.1991598	2.18595E-05	-4.05976E-05	123.1747751	2.30893E-05	-5.05753E-05	4.024384716	-1.22987E-06	9.97774E-06
149	125.6540278	-8.67025E-06	5.15909E-05	120.5700726	-5.30391E-06	5.35859E-05	5.083955188	-3.36634E-06	-1.99495E-06
150	124.21495	-4.00893E-05	8.17286E-05	117.8566611	-3.3125E-05	8.20795E-05	6.358288913	-6.96426E-06	-3.50902E-07
151	122.8869309	1.19751E-05	7.47561E-07	115.0332031	8.15089E-06	4.12114E-06	7.853727841	3.82426E-06	-3.37357E-06
152	121.6732344	4.72874E-05	4.59731E-06	112.100839	4.27097E-05	2.00137E-06	9.57239539	4.57768E-06	2.59594E-06
153	120.5724442	-2.61172E-05	-2.96059E-05	109.0613967	-2.51665E-05	-3.39789E-05	11.51104745	-9.50733E-07	4.373E-06
154	119.5776521	2.09896E-05	4.56285E-05	105.9153463	2.26034E-05	4.8396E-05	13.66230578	-1.6138E-06	-2.76752E-06
155	118.6789491	9.12024E-06	-1.04576E-05	102.6652896	1.30832E-05	-1.36116E-05	16.01365948	-3.963E-06	3.15398E-06
